Apozol,1138
Apulco,710
Atolinga,963
Benito Juárez,1302
Calera,12049
Cañitas de Felipe Pescador,2230
Concepción del Oro,2309
Cuauhtémoc,3014
Chalchihuites,1480
Fresnillo,45844
Trinidad García de la Cadena,1519
Genaro Codina,556
General Enrique Estrada,1725
General Francisco R. Murguía,2551
El Plateado de Joaquín Amaro,232
General Pánfilo Natera,1697
Guadalupe,64687
Huanusco,888
Jalpa,6099
Jerez,18837
Jiménez del Teul,660
Juan Aldama,6059
Juchipila,3062
Loreto,7804
Luis Moya,2231
Mazapil,678
Melchor Ocampo,263
Mezquital del Oro,565
Miguel Auza,4888
Momax,905
Monte Escobedo,2065
Morelos,2552
Moyahua de Estrada,1311
Nochistlán de Mejía,7825
Noria de Ángeles,649
Ojocaliente,7143
Pánuco,434
Pinos,2163
Río Grande,12788
Sain Alto,1898
El Salvador,450
Sombrerete,8385
Susticacán,568
Tabasco,3106
Tepechitlán,2204
Tepetongo,864
Teúl de González Ortega,1655
Tlaltenango de Sánchez Román,7144
Valparaíso,5604
Vetagrande,384
Villa de Cos,2196
Villa García,2271
Villa González Ortega,2271
Villa Hidalgo,1650
Villanueva,5773
Zacatecas,50612
Trancoso,4569
Santa María de la Paz,925
