0,Vivienda
Apozol,113.80000000000001
Apulco,71.0
Atolinga,96.30000000000001
Benito Juárez,130.20000000000002
Calera,1204.9
Cañitas de Felipe Pescador,223.0
Concepción del Oro,230.9
Cuauhtémoc,301.40000000000003
Chalchihuites,148.0
Fresnillo,4584.400000000001
Trinidad García de la Cadena,151.9
Genaro Codina,55.6
General Enrique Estrada,172.5
General Francisco R. Murguía,255.10000000000002
El Plateado de Joaquín Amaro,23.200000000000003
General Pánfilo Natera,169.70000000000002
Guadalupe,6468.700000000001
Huanusco,88.80000000000001
Jalpa,609.9
Jerez,1883.7
Jiménez del Teul,66.0
Juan Aldama,605.9
Juchipila,306.2
Loreto,780.4000000000001
Luis Moya,223.10000000000002
Mazapil,67.8
Melchor Ocampo,26.3
Mezquital del Oro,56.5
Miguel Auza,488.8
Momax,90.5
Monte Escobedo,206.5
Morelos,255.20000000000002
Moyahua de Estrada,131.1
Nochistlán de Mejía,782.5
Noria de Ángeles,64.9
Ojocaliente,714.3000000000001
Pánuco,43.400000000000006
Pinos,216.3
Río Grande,1278.8000000000002
Sain Alto,189.8
El Salvador,45.0
Sombrerete,838.5
Susticacán,56.800000000000004
Tabasco,310.6
Tepechitlán,220.4
Tepetongo,86.4
Teúl de González Ortega,165.5
Tlaltenango de Sánchez Román,714.4000000000001
Valparaíso,560.4
Vetagrande,38.400000000000006
Villa de Cos,219.60000000000002
Villa García,227.10000000000002
Villa González Ortega,227.10000000000002
Villa Hidalgo,165.0
Villanueva,577.3000000000001
Zacatecas,5061.200000000001
Trancoso,456.90000000000003
Santa María de la Paz,92.5
